Index,x,y,f090w,e_f090w,f187n,e_f187n,f200w,e_f200w,f335m,e_f335m,f444w,e_f444w,f470n,e_f470n,f090w-f444w,e_f090w-f444w,f090w-f187n,e_f090w-f187n,δ_f090w-f187n,e_δ_f090w-f187n,f187n-f200w,e_f187n-f200w,δ_f187n-f200w,e_δ_f187n-f200w,f200w-f335m,e_f200w-f335m,δ_f200w-f335m,e_δ_f200w-f335m,f335m-f444w,e_f335m-f444w,δ_f335m-f444w,e_δ_f335m-f444w,f444w-f470n,e_f444w-f470n,δ_f444w-f470n,e_δ_f444w-f470n,(f090w-f200w)-(f200w-f444w),e_δ_(f090w-f200w)-(f200w-f444w),δ_(f090w-f200w)-(f200w-f444w),RA,DEC
2283.0,7695.332,2407.85,11.737034726688101,0.0999,9.01109090909091,0.0531,15.280521276595746,0.041,10.642389473684213,0.0221,12.066625,0.0124,4.670285714285713,0.0222,-0.32959027331189894,0.10066662803531268,2.725943817597191,0.11313540559877797,0.3641974002651245,0.11313540559877797,-6.269430367504835,0.06708658584247675,-0.3041520521117764,0.06708658584247675,4.638131802911532,0.0465769256177348,0.12826275422241729,0.0465769256177348,-1.4242355263157869,0.025341073379002713,-0.18830810237576445,0.025341073379002713,7.396339285714287,0.02542833065696606,-0.009627512947077754,0.02542833065696606,-6.75738282650339,0.11617129593836853,0.12009069630669345,159.1855433684359,-58.61182627976329
2284.0,7697.485,4341.347,14.967034726688102,0.0817,9.63509090909091,0.0287,15.674521276595748,0.0355,10.636389473684213,0.0244,11.924625,0.0143,4.466285714285712,0.025,3.042409726688101,0.08294202794723553,5.3319438175971925,0.08659434161652826,0.4014480825718678,0.08659434161652826,-6.039430367504838,0.04565019167539168,-0.2869922285903135,0.04565019167539168,5.0381318029115345,0.04307679189540465,-0.008630365572280141,0.04307679189540465,-1.2882355263157876,0.028281619472724683,-0.10582548840927286,0.028281619472724683,7.458339285714288,0.028800868042474,0.10999256323960438,0.028800868042474,-4.457382826503393,0.09695297829360375,0.22891170796310778,159.21703201099712,-58.61568181611279
2285.0,7698.589,2661.089,13.0150347266881,0.0715,9.466090909090912,0.0388,15.637521276595745,0.0445,10.774389473684211,0.0223,12.101625,0.0104,4.6232857142857124,0.0211,0.9134097266880996,0.07225240480426931,3.5489438175971877,0.08134918561362492,0.24029484928863365,0.08134918561362492,-6.171430367504833,0.05903973238421732,-0.2846100412466548,0.05903973238421732,4.863131802911534,0.04977489326959928,0.15535108521150232,0.04977489326959928,-1.3272355263157891,0.02460589360295618,-0.11103589325348029,0.02460589360295618,7.478339285714288,0.023523817717368924,0.09361262782992341,0.023523817717368924,-6.15838282650339,0.09581706528588733,-0.08863038391604405,159.1896786379573,-58.612306469299625
2286.0,7700.776,5528.964,12.9830347266881,0.085,9.53709090909091,0.0396,15.367521276595745,0.057,10.647389473684212,0.0339,11.929625,0.0194,4.563285714285714,0.0259,1.0534097266881002,0.08718577865684289,3.4459438175971897,0.09377185078689661,0.03064452174502419,0.09377185078689661,-5.830430367504835,0.06940576344944273,0.04755317799800629,0.06940576344944273,4.720131802911533,0.06631900180189687,-0.009939850960282826,0.06631900180189687,-1.2822355263157874,0.03905854579986306,-0.06825784878274632,0.03905854579986306,7.366339285714286,0.03236000618046913,-0.015995079564463666,0.03236000618046913,-5.822382826503391,0.1187407259536508,0.15639539948605918,159.236384362577,-58.61802950310694
2287.0,7702.59,7335.085,14.511034726688099,0.0555,10.13809090909091,0.016,15.982521276595747,0.0465,11.00038947368421,0.0199,12.246625,0.0096,4.851285714285714,0.0164,2.2644097266880987,0.05632415112542754,4.372943817597189,0.057760280470233176,0.035119188492790165,0.057760280470233176,-5.844430367504838,0.049175705383857994,-0.04288497553565751,0.049175705383857994,4.982131802911537,0.05057924475513647,0.059243551153783436,0.05057924475513647,-1.2462355263157896,0.022094569468536832,-0.05147776411091498,0.022094569468536832,7.395339285714286,0.019003157632351525,0.03369825147411021,0.019003157632351525,-5.207382826503396,0.08658469841721457,-0.015531574085735578,159.26580805464042,-58.62162134411949
2288.0,7703.247,5877.318,12.162034726688102,0.1013,9.440090909090909,0.0288,15.272521276595747,0.04,10.63438947368421,0.0123,11.829625000000002,0.0096,4.467285714285714,0.0186,0.3324097266881001,0.10175386970528444,2.721943817597193,0.10531443395850353,-0.14410629140537612,0.10531443395850353,-5.832430367504838,0.04928934976239796,0.09106259888798718,0.04928934976239796,4.638131802911536,0.04184841693541107,0.022858470324410796,0.04184841693541107,-1.1952355263157912,0.015602884348735012,0.030185222192979033,0.015602884348735012,7.362339285714288,0.020931316251014888,-0.03231538648338095,0.020931316251014888,-6.553382826503389,0.11642100325972113,-0.10608738503477966,159.24206710090382,-58.61870481045927
2289.0,7704.673,5195.256,13.9250347266881,0.0704,9.012090909090912,0.0297,14.813521276595747,0.0408,10.007389473684212,0.0308,11.304625,0.0172,3.819285714285712,0.0343,2.6204097266881003,0.07247068372797376,4.9129438175971885,0.07640844194197392,0.30392264131046254,0.07640844194197392,-5.801430367504835,0.05046513648054467,-0.022355646599224066,0.05046513648054467,4.806131802911535,0.05112025039062309,-0.1734391151116137,0.05112025039062309,-1.297235526315788,0.03527718809655894,-0.108127879599623,0.03527718809655894,7.4853392857142875,0.03837095255528588,0.12978150981410597,0.03837095255528588,-4.397382826503394,0.09263519849387705,0.5631339894224752,159.2309648071814,-58.61732923083192
2290.0,7707.515,5464.494,13.735034726688099,0.0678,9.774090909090912,0.0183,15.576521276595745,0.0378,10.655389473684211,0.0137,11.831625,0.0105,4.462285714285715,0.0169,1.903409726688098,0.06860823565724453,3.9609438175971867,0.07022627713327825,-0.10187532405547195,0.07022627713327825,-5.802430367504833,0.04199678559128067,0.021901294840608543,0.04199678559128067,4.921131802911534,0.040206094065452315,0.05572232228245344,0.040206094065452315,-1.1762355263157893,0.01726093856080833,0.02425170693241152,0.01726093856080833,7.369339285714286,0.019896230798822172,0.0015295541124880074,0.019896230798822172,-5.586382826503391,0.08697568625771228,-0.1599480584297286,159.2353603079457,-58.61784346772426
2291.0,7708.086,1601.166,13.3170347266881,0.0767,11.01109090909091,0.0363,17.208521276595746,0.0204,11.863389473684213,0.0458,13.908624999999999,0.0155,6.636285714285714,0.0154,-0.5915902733118994,0.07825049520610078,2.305943817597189,0.08485623135633588,0.14378587038245216,0.08485623135633588,-6.197430367504836,0.04163952449296221,-0.21561464812679088,0.04163952449296221,5.345131802911533,0.05013781008380801,0.876978649058187,0.05013781008380801,-2.0452355263157855,0.04835173213029705,-0.8051498713138476,0.04835173213029705,7.272339285714285,0.021849713956937744,-0.1381045176804463,0.021849713956937744,-7.1913828265033946,0.08339940047746147,-0.1436575554886792,159.17246049939865,-58.61009966497835
2292.0,7713.291,2730.047,11.601034726688098,0.107,8.52809090909091,0.0586,15.236521276595745,0.0374,10.65738947368421,0.0187,12.048625,0.01,4.631285714285715,0.0213,-0.44759027331190104,0.10746627377926528,3.0729438175971886,0.12199573763045986,0.8010883906233102,0.12199573763045986,-6.708430367504835,0.069517767513061,-0.7357039083322787,0.069517767513061,4.579131802911535,0.04181447117924607,0.0880508289957822,0.04181447117924607,-1.3912355263157892,0.021205895406702355,-0.15343531128681254,0.021205895406702355,7.417339285714284,0.023530618351416097,0.009356126142471943,0.023530618351416097,-6.8233828265033925,0.11977695938702067,0.1307689645820611,159.19085788734984,-58.61232006275546
2293.0,7715.166,5672.048,13.188034726688102,0.0739,9.553090909090912,0.0297,15.489521276595745,0.0364,10.780389473684211,0.0119,12.000625000000001,0.01,4.6452857142857145,0.0161,1.1874097266881005,0.07457352076977457,3.6349438175971898,0.0796448366185781,0.11756492252471062,0.0796448366185781,-5.936430367504833,0.04697925073902308,-0.0669048835821,0.04697925073902308,4.709131802911534,0.0382958222264518,-0.0422754612961338,0.0382958222264518,-1.2202355263157898,0.015543809056984714,-0.008384577646476377,0.015543809056984714,7.355339285714287,0.018952836199366045,-0.024705313784802563,0.018952836199366045,-5.790382826503388,0.0906152856862461,0.10132007788522035,159.23876981993035,-58.618193482334895
2294.0,7716.252,7738.699,16.8530347266881,0.0493,11.635090909090911,0.0165,17.346521276595745,0.0346,12.25038947368421,0.0192,13.417625,0.0102,6.193285714285713,0.0087,3.4354097266881016,0.050344115842866875,5.21794381759719,0.05198788320368506,-0.011934622604129252,0.05198788320368506,-5.711430367504834,0.038332884055338176,0.016201665432211243,0.038332884055338176,5.096131802911534,0.039570190800651946,-0.013204207825932457,0.039570190800651946,-1.167235526315789,0.021741205118392126,0.008937164997852687,0.021741205118392126,7.2243392857142865,0.013406341782902597,-0.11729192966034852,0.013406341782902597,-4.422382826503389,0.07020576899372301,0.008534085656163093,159.27243497652103,-58.62231065679969
